family;name;age;group;physics;mathematics;rus;literature;geometry;informatics
Абрамов;Захар;8;1;5;3;2;1;1;4
Абрамов;Дмитрий;5;1;5;1;1;4;4;5
Абрамов;Даниил;10;4;5;2;2;5;2;5
Абрамов;Илья;13;6;5;2;3;4;3;1
Абрамов;Никита;5;1;5;3;5;2;3;3
Абрамов;Павел;10;4;5;2;2;4;3;1
Абрамов;Илья;17;12;5;1;4;5;5;3
Абрамов;Ярослав;12;7;2;3;1;2;5;3
Абрамов;Владислав;14;8;1;5;4;5;4;1
Абрамов;Максим;12;6;2;1;4;3;2;4
Абрамов;Святослав;7;2;4;2;1;3;2;3
Абрамов;Арсений;13;7;3;3;5;4;2;2
Абрамов;Роман;14;9;5;1;2;1;5;5
Абрамов;Даниил;13;8;5;2;1;4;2;3
Абрамов;Михаил;12;7;2;1;1;4;1;3
Абрамов;Александр;9;3;5;5;2;3;4;3
Абрамов;Степан;8;3;1;2;2;2;3;3
Абрамов;Александр;6;1;3;2;4;5;1;3
Абрамов;Максим;13;8;2;1;5;3;3;3
Абрамов;Евгений;17;10;1;4;2;5;3;2
Абрамов;Иван;17;11;1;1;2;5;5;3
Абрамов;Роман;6;1;3;2;3;3;4;5
Абрамов;Артём;17;12;2;2;2;2;3;5
Абрамов;Максим;10;3;5;3;1;2;5;1
Абрамов;Александр;10;5;1;5;2;3;3;5
Абрамов;Руслан;6;1;2;5;4;5;4;5
Абрамов;Савелий;9;4;4;1;3;4;5;2
Абрамов;Владислав;6;1;4;5;3;1;4;2
Абрамов;Владислав;14;8;3;1;4;5;1;5
Абрамов;Александр;11;6;2;2;2;5;4;1
Абрамов;Максим;13;8;5;1;4;2;4;2
Абрамов;Александр;6;1;4;4;2;1;1;1
Абрамов;Константин;10;3;5;4;1;5;2;1
Абрамов;Даниил;13;6;5;2;5;3;1;3
Абрамов;Марк;8;1;4;3;4;5;2;1
Абрамов;Леонид;8;2;2;5;2;5;4;3
Абрамов;Максим;6;1;5;4;4;3;3;5
Абрамов;Игорь;14;9;4;3;5;1;4;1
Абрамов;Роман;7;1;3;1;5;1;4;1
Абрамов;Матвей;8;3;1;2;2;5;1;5
Абрамов;Даниил;12;6;5;1;2;4;1;3
Абрамов;Артём;10;3;5;3;2;2;2;4
Абрамов;Иван;13;6;1;3;1;1;1;4
Абрамов;Даниил;12;5;2;2;3;2;4;1
Абрамов;Александр;8;3;4;4;1;5;4;5
Абрамов;Артур;15;9;4;5;4;1;4;4
Абрамов;Вячеслав;11;5;2;5;1;1;1;3
Абрамов;Никита;6;1;3;1;4;1;3;5
Абрамов;Александр;15;8;2;2;3;5;1;3
Абрамов;Глеб;8;3;2;2;4;1;4;4
Абрамов;Роман;14;9;2;4;1;5;4;2
Абрамов;Даниил;16;11;5;3;1;1;4;2
Абрамов;Тимур;7;2;2;2;5;3;3;3
Абрамов;Владимир;15;9;1;1;4;1;3;5
Абрамов;Фёдор;14;8;2;5;1;3;3;5
Абрамов;Владимир;17;12;3;1;2;1;4;3
Абрамов;Владислав;13;8;4;1;4;5;4;1
Абрамов;Дмитрий;17;10;4;2;5;5;5;1
Абрамов;Артём;10;5;4;2;3;4;5;4
Абрамов;Дмитрий;14;8;1;3;2;3;5;5
Абрамов;Никита;10;3;4;4;1;2;5;3
Абрамов;Ярослав;10;4;5;2;3;1;2;2
Абрамов;Алексей;12;5;2;5;1;2;4;3
Абрамов;Артём;13;8;4;2;1;3;2;3
Абрамов;Дмитрий;9;2;2;2;1;2;4;1
Абрамов;Денис;5;1;1;5;1;5;4;1
Абрамов;Артём;16;9;1;1;4;3;3;4
Абрамов;Максим;12;5;2;1;2;3;3;1
Абрамов;Алексей;5;1;1;2;4;4;1;3
Абрамов;Дмитрий;12;5;5;5;3;5;2;4
Абрамов;Михаил;6;1;4;1;4;5;3;2
Абрамов;Максим;10;5;5;3;4;1;2;1
Абрамов;Михаил;8;2;4;4;5;2;5;5
Абрамов;Константин;13;7;4;2;3;1;4;2
Абрамов;Алексей;12;7;2;5;5;3;2;4
Абрамов;Павел;10;4;4;1;5;3;1;4
Абрамов;Даниил;12;6;5;4;4;3;3;2
Абрамов;Глеб;8;3;1;4;1;4;5;4
Абрамов;Александр;7;2;2;1;1;1;4;5
Абрамов;Илья;6;1;4;3;5;2;1;1
Абрамов;Кирилл;17;10;1;3;4;1;3;4
Абрамов;Михаил;11;5;3;3;4;3;2;4
Абрамов;Руслан;12;6;3;1;5;4;4;1
Абрамов;Артём;5;1;2;2;1;5;1;5
Абрамов;Михаил;5;1;2;5;2;3;1;3
Абрамов;Роман;5;1;4;2;5;5;4;4
Абрамов;Александр;10;3;5;2;3;5;1;4
Абрамов;Дмитрий;9;2;3;4;2;5;3;5
Абрамов;Макар;8;1;4;2;3;5;3;3
Абрамов;Роман;17;12;1;5;3;3;1;4
Абрамов;Михаил;14;8;1;3;2;5;5;3
Абрамов;Григорий;17;11;2;1;4;2;4;1
Абрамов;Артём;12;5;2;4;4;3;2;3
Абрамов;Иван;8;2;3;1;5;5;1;3
Абрамов;Николай;12;5;4;3;1;4;5;1
Абрамов;Гордей;10;4;3;5;5;3;2;3
Абрамова;София;8;3;2;3;4;1;3;1
Абрамова;Арина;11;4;2;4;4;4;3;2
Абрамова;Елизавета;13;8;5;2;1;4;1;5
Абрамова;Милана;10;3;4;5;3;3;2;4
Абрамова;Ксения;11;5;1;4;1;1;2;3
Абрамова;Вероника;6;1;4;4;5;4;4;2
Абрамова;Дарья;5;1;5;3;3;5;3;4
Абрамова;София;13;6;4;4;3;4;3;3
Абрамова;Дарья;13;8;2;4;3;5;2;3
Абрамова;Мария;16;10;3;5;2;1;3;5
Абрамова;Ника;12;6;2;5;2;5;4;5
Абрамова;Ева;8;3;5;3;4;2;2;4
Абрамова;Ева;10;3;5;3;5;1;1;1
Абрамова;Александра;9;3;1;5;2;2;3;1
Абрамова;Дарья;14;7;4;1;5;1;2;2
Абрамова;Валерия;10;5;3;4;5;5;1;1
Абрамова;Вера;11;6;3;4;4;5;1;3
Абрамова;Майя;9;3;2;1;4;3;1;2
Абрамова;Елизавета;15;10;2;3;1;4;4;4
Абрамова;Любовь;10;4;2;2;4;2;1;3
Абрамова;Виктория;8;3;2;3;4;3;5;3
Абрамова;Екатерина;13;6;5;2;2;4;5;5
Абрамова;Дарина;16;10;5;2;4;3;4;1
Абрамова;Таисия;6;1;4;4;2;4;4;3
Абрамова;Алёна;11;5;1;3;4;2;3;3
Абрамова;Елизавета;7;1;3;1;3;2;3;1
Абрамова;Василиса;11;4;3;1;5;3;4;2
Абрамова;Арина;17;11;1;3;5;5;4;1
Абрамова;Валерия;16;11;2;4;5;5;2;2
Абрамова;Маргарита;14;7;1;5;2;5;5;3
Абрамова;Варвара;10;5;4;4;2;5;4;2
Абрамова;Мила;11;6;2;1;4;3;3;5
Абрамова;Дарья;6;1;5;3;5;5;4;4
Абрамова;Злата;6;1;4;2;3;4;4;3
Абрамова;Вероника;10;5;3;3;5;3;4;5
Абрамова;Валерия;16;10;2;1;4;3;4;2
Абрамова;Варвара;6;1;4;2;1;2;2;3
Абрамова;Мария;15;10;1;5;2;3;3;3
Абрамова;Василиса;16;11;2;3;4;2;2;5
Абрамова;Таисия;14;7;5;2;5;4;4;3
Абрамова;Ксения;12;6;1;4;4;5;4;3
Абрамова;Анна;10;5;1;2;3;5;4;1
Абрамова;Екатерина;13;8;4;4;4;4;2;1
Абрамова;Милена;16;11;5;3;3;5;1;4
Абрамова;Кира;11;5;4;2;2;5;5;4
Абрамова;Виктория;8;1;4;5;4;1;4;1
Абрамова;Любовь;5;1;1;2;1;4;3;4
Абрамова;Алёна;7;1;4;2;5;2;4;3
Абрамова;Ульяна;14;7;5;4;5;5;3;4
Абрамова;Анастасия;12;6;2;3;2;1;4;4
Абрамова;Василиса;17;10;2;2;2;2;1;3
Абрамова;София;10;3;5;5;3;3;2;3
Абрамова;Вероника;14;8;4;2;4;1;1;4
Абрамова;Василиса;7;1;5;2;5;4;1;3
Абрамова;Диана;7;1;2;4;2;3;1;2
Абрамова;Варвара;16;9;1;3;5;4;5;4
Абрамова;Арина;17;11;1;2;2;2;1;4
Абрамова;Кира;10;4;3;1;2;1;2;3
Абрамова;Надежда;13;7;2;2;1;5;3;5
Абрамова;Ярослава;10;5;4;1;5;5;3;5
Абрамова;Алиса;14;9;4;1;4;5;1;3
Абрамова;Елизавета;7;1;5;4;5;2;2;1
Абрамова;Алиса;8;1;4;3;2;2;4;5
Абрамова;Анастасия;17;11;4;3;3;1;5;4
Абрамова;Ксения;5;1;4;4;1;2;2;1
Абрамова;Елизавета;13;7;2;1;1;1;5;2
Абрамова;Анастасия;15;9;4;2;2;1;1;3
Абрамова;Арина;10;5;4;2;1;5;4;4
Абрамова;Вероника;5;1;3;2;3;1;1;2
Абрамова;Мария;12;5;1;1;3;3;1;3
Абрамова;Мия;8;3;1;1;4;5;4;2
Абрамова;Виктория;12;7;2;2;1;1;2;3
Абрамова;Елизавета;9;3;4;4;3;1;3;3
Абрамова;Анастасия;15;8;4;2;2;4;1;1
Абрамова;Анна;9;2;4;1;1;4;2;5
Абрамова;Валерия;15;9;5;5;3;4;2;2
Абрамова;Карина;8;3;4;4;5;4;1;5
Абрамова;Анастасия;8;1;4;3;5;5;1;3
Абрамова;Алиса;8;1;2;2;2;3;2;1
Абрамова;Анастасия;12;6;4;1;1;4;3;2
Абрамова;Алина;6;1;4;1;3;3;4;2
Абрамова;Диана;16;9;2;1;4;4;3;5
Абрамова;Виктория;9;3;4;2;2;1;1;3
Абрамова;Елизавета;10;3;5;2;4;1;2;1
Абрамова;Виктория;10;4;1;5;3;4;2;3
Абрамова;Анна;12;5;2;1;4;1;3;4
Абрамова;Екатерина;13;8;1;1;3;5;2;5
Абрамова;Елизавета;7;2;5;5;4;5;4;4
Абрамова;Анна;12;5;5;4;5;4;5;5
Абрамова;Екатерина;5;1;1;3;2;2;1;5
Абрамова;Василиса;17;12;3;4;4;1;1;5
Абрамова;Зоя;17;10;4;5;1;2;1;3
Абрамова;Анастасия;14;9;2;2;4;5;3;3
Абрамова;Анна;13;7;4;5;5;2;1;2
Абрамова;Алиса;12;5;5;1;5;3;4;5
Абрамова;София;6;1;4;5;5;5;2;2
Абрамова;Анна;8;2;1;5;5;3;2;4
Абрамова;Злата;10;3;3;5;4;3;5;1
Абрамова;Ксения;13;6;1;5;3;2;1;3
Абрамова;Анна;13;8;4;5;1;5;1;1
Абрамова;Елизавета;6;1;5;4;2;4;1;3
Абрамова;Полина;15;8;4;1;3;2;2;1
Абрамова;Полина;12;5;4;1;5;1;2;3
Абрамова;София;6;1;5;2;3;1;1;4
Абрамова;Алиса;11;4;5;1;5;3;5;1
Абрамова;Екатерина;14;9;2;3;4;3;5;1
Абрамова;София;11;6;4;2;3;2;1;4
Абрамова;Елизавета;14;7;4;1;1;2;5;1
Абрамова;Анна;10;3;5;4;1;3;5;5
Абрамова;Серафима;5;1;3;4;2;5;2;2
Абрамова;Ульяна;7;2;2;2;4;4;2;4
Абрамова;Любовь;11;6;3;4;5;2;4;1
Абрамова;Мия;14;9;2;4;4;4;5;1
Абрамова;Вера;6;1;5;4;5;5;1;3
Абрамова;Елизавета;8;1;4;4;2;5;5;5
Абрамова;Полина;7;1;4;2;2;3;5;4
Абрамова;Дарья;6;1;1;4;3;1;1;3
Абрамова;Александра;6;1;1;3;3;5;4;5
Абрамова;Ирина;11;5;1;4;5;5;3;2
Абрамова;Дарья;13;6;3;3;5;1;2;2
Абрамова;Вера;11;4;4;2;5;3;4;5
Абрамова;Ксения;5;1;1;5;4;1;3;3
Абрамова;Майя;7;1;1;1;2;1;1;4
Абрамова;Ева;12;7;4;5;3;1;5;3
Абрамова;Мия;14;9;4;4;4;5;3;4
Абрамова;Милана;12;5;1;5;1;1;4;1
Абрамова;Анна;16;9;1;2;4;1;2;5
Абрамова;Милана;17;11;5;1;2;4;4;4
Абрамова;София;16;9;4;4;3;5;4;5
Абрамова;Мария;10;4;5;1;3;3;1;2
Абрамова;Майя;5;1;2;3;2;2;2;2
Абрамова;Екатерина;12;6;4;3;3;1;4;3
Абрамова;Мария;12;6;4;1;2;5;5;5
Абрамова;Юлия;7;1;5;2;5;2;5;2
Абрамова;Виктория;15;9;1;4;4;2;2;3
Абрамова;Виктория;17;10;1;1;1;4;2;1
Абрамова;Татьяна;5;1;4;4;3;1;2;2
Абрамова;Кира;5;1;1;5;4;3;4;3
Абрамова;Виктория;15;9;4;4;2;1;5;4
Абрамова;Арина;13;7;1;3;2;1;4;1
Абрамова;София;5;1;2;2;1;4;5;2
Абрамова;Мария;13;6;1;1;4;5;3;2
Авдеев;Ярослав;5;1;4;5;3;4;2;2
Авдеев;Дмитрий;11;4;1;3;3;4;5;3
Авдеев;Иван;12;6;3;5;3;3;2;2
Авдеев;Константин;9;2;4;2;4;3;2;5
Авдеев;Михаил;8;3;4;5;2;4;3;4
Авдеев;Николай;15;9;4;4;5;5;3;2
Авдеев;Марк;17;10;3;5;5;5;4;4
Авдеев;Антон;8;2;4;5;1;1;3;1
Авдеев;Максим;11;6;4;1;4;4;3;4
Авдеев;Егор;15;10;3;4;2;5;5;5
Авдеев;Владислав;11;6;1;2;2;3;3;2
Авдеев;Михаил;5;1;5;3;4;1;1;5
Авдеев;Руслан;15;10;3;3;2;3;1;5
Авдеев;Роман;13;6;3;3;1;5;3;5
Авдеев;Георгий;8;3;2;2;1;3;1;3
Авдеев;Дмитрий;17;10;3;1;2;1;3;5
Авдеев;Артём;16;10;1;2;3;5;4;3
Авдеев;Игорь;12;7;1;3;5;5;5;2
Авдеев;Кирилл;17;12;5;4;5;1;2;2
Авдеев;Константин;9;4;2;5;2;3;3;1
Авдеев;Семён;9;2;5;4;3;2;4;5
Авдеев;Степан;7;1;5;2;1;5;3;1
Авдеев;Григорий;5;1;5;4;1;1;5;3
Авдеев;Семён;14;7;3;4;1;3;5;4
Авдеев;Артём;13;8;5;1;4;5;2;4
Авдеев;Матвей;7;1;3;5;2;2;1;1
Авдеев;Арсений;16;10;3;3;1;1;5;4
Авдеев;Михаил;13;7;4;1;1;5;1;2
Авдеев;Василий;12;7;1;2;1;5;1;4
Авдеев;Андрей;10;4;3;3;5;1;2;2
Авдеев;Леонид;15;10;4;4;2;4;2;5
Авдеев;Владимир;14;9;1;1;2;5;5;3
Авдеев;Максим;17;12;3;4;3;2;5;3
Авдеев;Роман;10;4;3;5;5;3;1;3
Авдеев;Максим;6;1;3;1;2;2;1;1
Авдеев;Михаил;14;8;2;5;1;5;2;4
Авдеев;Артём;9;2;1;1;3;4;1;2
Авдеев;Андрей;12;7;2;2;4;1;2;3
Авдеев;Кирилл;17;10;3;4;3;2;2;4
Авдеев;Иван;8;2;3;4;2;1;3;3
Авдеев;Виктор;11;6;3;2;5;3;3;4
Авдеев;Дмитрий;8;1;1;1;3;3;4;1
Авдеев;Дмитрий;7;2;5;2;3;4;3;2
Авдеев;Никита;9;4;2;3;2;3;3;3
Авдеев;Алексей;9;3;3;1;1;5;2;2
Авдеев;Фёдор;15;10;2;4;2;2;3;2
Авдеев;Михаил;8;3;2;4;2;2;3;1
Авдеев;Александр;12;6;3;1;2;3;2;5
Авдеев;Михаил;13;7;5;5;4;3;1;5
Авдеев;Владимир;9;4;2;1;2;4;3;5
Авдеев;Николай;11;4;3;1;1;1;3;3
Авдеев;Александр;7;2;3;5;3;1;1;1
Авдеев;Павел;7;1;5;4;1;2;5;3
Авдеев;Алексей;5;1;1;3;2;2;4;4
Авдеев;Роман;5;1;2;1;5;5;5;2
Авдеев;Дмитрий;15;9;2;2;1;3;4;3
Авдеев;Станислав;12;7;5;5;4;1;1;1
Авдеев;Даниил;10;3;4;3;5;4;1;3
Авдеев;Артём;6;1;3;4;5;5;5;2
Авдеев;Леонид;15;10;2;4;5;4;5;3
Авдеев;Захар;14;9;3;5;5;1;5;2
Авдеев;Матвей;15;10;4;4;4;1;4;4
Авдеев;Артём;9;3;1;2;1;3;3;5
Авдеев;Максим;6;1;3;2;5;3;2;2
Авдеев;Мирон;14;8;3;3;3;1;3;3
Авдеев;Иван;10;3;2;2;4;5;2;4
Авдеев;Тихон;7;1;3;2;1;4;3;1
Авдеев;Ян;12;5;5;3;3;3;1;1
Авдеева;Александра;15;10;3;2;2;4;3;3
Авдеева;Вероника;8;2;3;1;3;4;1;4
Авдеева;Анна;12;5;3;3;4;1;1;1
Авдеева;Алёна;11;4;5;1;4;1;3;3
Авдеева;Мирослава;10;5;4;2;5;2;3;3
Авдеева;Валерия;12;5;2;3;5;2;4;5
Авдеева;Мирослава;5;1;5;3;3;4;1;5
Авдеева;Маргарита;15;8;5;5;2;5;5;1
Авдеева;Ксения;9;3;2;4;2;1;5;4
Авдеева;Мария;14;7;5;1;3;1;4;4
Авдеева;Виктория;12;5;5;3;3;1;5;1
Авдеева;Ульяна;9;4;3;1;2;1;4;5
Авдеева;Елена;6;1;4;1;5;2;2;2
Авдеева;Арина;8;3;5;5;4;3;2;3
Авдеева;Анна;14;9;2;4;4;5;1;2
Авдеева;Маргарита;5;1;1;3;4;4;4;3
Авдеева;Екатерина;13;7;1;1;3;5;3;5
Авдеева;София;15;9;3;5;3;3;2;4
Авдеева;Мария;12;6;1;1;3;5;5;5
Авдеева;Екатерина;11;5;2;2;5;1;4;1
Авдеева;Арина;14;9;5;5;4;4;4;4
Авдеева;Анастасия;13;8;1;2;4;2;5;5
Авдеева;Полина;5;1;3;4;5;5;5;1
Авдеева;Дарья;9;2;4;2;4;3;2;1
Авдеева;Маргарита;9;4;2;4;3;2;3;1
Авдеева;Лилия;10;3;4;2;2;3;4;4
Авдеева;Диана;8;2;3;5;4;5;3;2
Авдеева;Алёна;16;11;2;1;4;2;1;2
Авдеева;Анастасия;5;1;2;2;4;5;1;3
Авдеева;Александра;16;9;4;1;5;2;4;1
Авдеева;Арина;17;10;2;2;1;2;4;2
Авдеева;Ксения;10;5;4;3;1;1;1;4
Авдеева;Вероника;14;7;5;2;1;2;1;1
Авдеева;Мирослава;8;3;3;1;2;1;5;5
Авдеева;Василиса;14;9;3;3;2;1;4;3
Авдеева;Алёна;13;8;2;4;5;2;2;5
Авдеева;Лилия;12;5;1;1;3;4;3;4
Авдеева;Милана;11;4;5;3;3;2;4;2
Авдеева;Варвара;9;4;1;5;3;2;3;1
Авдеева;София;6;1;2;4;3;3;4;4
Авдеева;Анна;10;4;1;3;3;4;2;2
Авдеева;Мария;11;5;1;4;2;3;1;3
Авдеева;Ульяна;9;2;2;5;1;2;2;5
Авдеева;Анастасия;6;1;1;2;2;2;5;4
Авдеева;Ксения;14;8;5;4;4;5;2;4
Авдеева;Таисия;11;5;1;5;1;3;3;1
Авдеева;София;9;3;1;4;4;3;1;3
Авдеева;Алиса;8;2;4;5;1;3;3;5
Авдеева;Виктория;11;5;3;5;2;1;5;5
Авдеева;Диана;12;7;2;1;2;5;2;4
Авдеева;Полина;5;1;2;3;3;5;2;5
Авдеева;Диана;17;10;3;1;1;4;5;2
Авдеева;Виктория;16;11;4;1;2;3;3;5
Авдеева;Мария;13;7;3;5;3;5;3;2
Авдеева;Елизавета;8;1;3;1;5;4;4;1
Авдеева;Вероника;6;1;2;2;4;2;1;2
Авдеева;София;6;1;3;2;5;4;4;1
Авдеева;Валерия;5;1;3;4;3;4;2;3
Авдеева;Екатерина;11;5;3;2;3;1;5;3
Авдеева;Анна;17;12;2;4;1;2;2;2
Авдеева;Алиса;13;8;1;5;5;4;1;2
Авдеева;Милана;16;9;4;1;5;2;4;1
Авдеева;Ева;5;1;3;1;2;5;4;3
Авдеева;Ирина;16;9;3;2;1;5;3;5
Авдеева;Милана;10;4;2;2;1;4;4;4
Авдеева;Вера;17;10;2;1;4;4;5;3
Авдеева;Дарья;17;10;2;4;2;2;1;1
Авдеева;Алиса;17;11;2;2;5;2;2;3
Авдеева;Екатерина;9;3;1;4;4;1;4;3
Авдеева;Алиса;12;5;2;2;2;3;5;4
Авдеева;Алина;8;3;1;3;1;5;4;4
Авдеева;Виктория;7;1;3;2;2;2;1;5
Авдеева;Елизавета;13;7;1;2;5;2;3;2
Авдеева;Алиса;11;6;5;4;2;5;1;1
Авдеева;Дарья;9;3;2;5;1;4;1;4
Агапов;Степан;8;3;1;5;4;4;2;4
Агапов;Константин;14;7;4;5;2;5;3;2
Агапов;Марк;10;3;5;5;5;3;4;3
Агапов;Владислав;5;1;4;4;3;2;3;2
Агапов;Егор;8;3;4;5;1;3;5;4
Агапов;Тихон;15;9;2;4;5;4;4;2
Агапов;Семён;8;2;2;5;4;1;3;3
Агапов;Демид;15;9;4;2;3;2;2;2
Агапов;Максим;14;7;5;1;3;5;3;2
Агапов;Роман;11;5;3;3;5;5;3;2
Агапов;Артём;10;5;4;1;4;4;1;5
Агапов;Лев;8;1;2;4;5;3;2;2
Агапов;Владислав;7;1;4;4;5;2;4;4
Агапов;Михаил;9;2;3;3;2;1;3;1
Агапов;Артём;7;1;4;2;4;3;1;2
Агапов;Владислав;13;7;2;4;3;2;4;4
Агапов;Марк;6;1;4;2;4;5;5;3
Агапов;Максим;16;9;2;4;2;3;1;2
Агапов;Никита;12;6;1;1;2;1;4;4
Агапова;Мария;16;10;1;4;5;1;4;3
Агапова;Ева;10;4;4;4;5;1;5;5
Агапова;Елизавета;15;8;5;4;5;3;1;2
Агапова;Ангелина;11;6;4;4;5;3;2;1
Агапова;София;12;5;2;2;5;3;4;1
Агапова;Полина;16;10;3;3;3;5;1;2
Агапова;Ксения;9;2;1;4;3;4;3;2
Агапова;Екатерина;8;3;3;1;5;2;3;2
Агапова;Елизавета;14;7;1;5;1;3;2;3
Агапова;Елизавета;7;1;1;5;4;5;1;1
Агапова;Юлия;13;7;1;2;2;4;5;4
Агапова;Карина;9;3;5;5;4;4;1;1
Агапова;Елизавета;14;9;2;3;4;4;3;2
Агапова;Алёна;7;1;1;1;1;2;1;5
Агапова;Варвара;11;5;2;1;5;1;5;5
Агапова;София;17;11;5;2;4;2;5;3
Агапова;Полина;6;1;5;4;1;2;1;4
Агапова;Алина;11;4;2;4;5;1;5;2
Агапова;Анна;5;1;1;2;1;4;5;4
Агапова;София;11;4;4;2;2;3;4;3
Агапова;Анастасия;9;2;1;5;5;2;4;2
Агапова;Варвара;17;12;4;2;3;3;2;4
Агапова;Варвара;17;11;1;1;5;3;2;1
Агафонов;Фёдор;16;11;3;2;3;2;1;5
Агафонов;Артемий;14;8;3;1;3;1;3;4
Агафонов;Александр;13;8;3;4;4;1;1;1
Агафонов;Кирилл;9;3;2;5;3;3;3;3
Агафонов;Максим;17;10;4;3;2;2;3;5
Агафонов;Роман;15;10;3;1;2;1;1;2
Агафонов;Александр;16;11;3;2;4;2;1;4
Агафонов;Иван;6;1;5;2;5;1;4;4
Агафонов;Константин;8;3;2;5;4;2;5;4
Агафонов;Глеб;16;10;3;2;2;3;3;1
Агафонов;Алексей;5;1;3;5;4;2;1;5
Агафонов;Тимофей;14;7;4;5;4;4;2;1
Агафонов;Савелий;15;8;4;5;1;1;3;2
Агафонов;Борис;8;1;5;2;1;3;2;1
Агафонов;Егор;10;5;5;4;4;3;3;2
Агафонов;Тимур;10;3;5;2;5;4;1;2
Агафонов;Александр;12;7;1;2;4;1;4;5
Агафонов;Кирилл;10;3;1;3;4;4;5;5
Агафонов;Мирослав;8;2;2;2;1;5;4;5
Агафонов;Кирилл;12;6;5;5;4;2;2;5
Агафонов;Максим;14;9;1;3;1;4;2;5
Агафонов;Роман;17;12;2;4;1;2;4;3
Агафонов;Андрей;11;5;3;1;1;5;3;5
Агафонов;Владислав;10;4;2;1;3;1;3;1
Агафонов;Даниил;14;8;3;3;5;5;1;1
Агафонов;Даниил;5;1;5;4;2;2;2;5
Агафонов;Кирилл;14;8;5;2;1;1;3;4
Агафонов;Артём;5;1;2;4;3;2;2;4
Агафонов;Роман;5;1;2;5;5;4;4;5
Агафонов;Дмитрий;6;1;3;4;4;4;3;3
Агафонов;Глеб;17;10;4;3;2;3;1;1
Агафонов;Фёдор;5;1;2;3;1;1;1;3
Агафонов;Максим;15;10;2;2;5;5;3;4
Агафонов;Сергей;15;9;2;5;1;3;1;4
Агафонов;Мирон;16;9;2;5;4;3;2;2
Агафонов;Денис;7;2;3;1;1;4;4;1
Агафонов;Даниил;9;4;2;2;1;1;4;3
Агафонов;Алексей;16;10;1;3;5;5;4;5
Агафонов;Лука;6;1;4;5;3;5;5;5
Агафонов;Иван;11;6;2;4;2;1;3;2
Агафонов;Александр;5;1;2;2;5;3;2;5
Агафонов;Владимир;11;6;2;1;3;3;5;2
Агафонов;Максим;14;8;1;4;2;2;3;5
Агафонов;Даниил;10;3;1;5;3;4;2;4
Агафонов;Тимофей;10;4;1;2;4;4;5;3
Агафонов;Тимофей;10;4;3;3;4;1;3;5
Агафонов;Артём;6;1;4;1;4;4;3;5
Агафонов;Кирилл;13;6;1;1;1;4;3;2
